usina,mae_padrao,mae_l2,diferenca_media,diferenca_mediana,diferenca_std,correlacao,mae_diferenca
UTECMCE029720-8,136.827655263638,136.83385974274768,-0.006204479109651391,-0.7859999999999998,5.15760436226718,0.9997899572140303,2.9188175515416894
UTECMCE030098-5,39.74646097883598,72.47804125615764,-33.045864805692396,-2.668,59.621735409944925,0.984821642345744,33.16518545885788
UTECMMA029700-3,64.52224730888526,64.54231862342638,-0.020071314541142096,-0.5029999999999999,7.6494314436768756,0.998191382466303,2.6709735677796025
UTECMRS029767-4,225.48503441434048,219.3859172824302,5.732861247947453,-0.6440000000000001,39.718916065341844,0.9805576043077572,29.13337835249043
UTECMRS032282-2,215.95297053457398,214.16009870461593,0.6477516420361257,1.2439999999999998,3.4433670920032013,0.9999211359075089,2.9611342364532014
UTECMSC001260-2,112.44801094690752,108.06302631819011,4.384984628717387,3.887999999999998,11.681942703925365,0.9953872986365017,8.538156860062031
UTECMSC027093-8,220.94536881955847,163.4108501413976,56.670204365079364,70.55499999999998,58.73320667610276,0.9334544966914067,66.98459448549535
UTECMSC027094-6,201.50265293742015,201.53599913336984,-0.03334619594964433,0.8140000000000214,7.34677201947296,0.9987605228990243,5.864937830687832
UTEGNAM027250-7,53.07140476190476,51.59827246396642,1.4731322979383323,-0.48399999999999466,3.2057009715392444,0.9962517755458877,2.058383118956395
UTEGNAM029272-9,34.89668876573619,33.643554278416346,0.06066518427294245,-8.144000000000002,203.31700315615439,-0.3224990483556665,22.4159103493888
UTEGNAM029361-0,30.563891329137025,30.573738323298667,-0.06962171592775042,-0.012999999999998124,0.8679576220583328,0.9881500584667482,0.1547798531289911
UTEGNAM029432-2,29.669457056194126,32.39270794563036,-2.723250889436234,-4.3580000000000005,8.915139378817686,-0.9994856750181789,6.959722564313083
UTEGNAM031888-4,149.90405279602263,149.27606944444446,0.6279833515781791,0.7369999999999948,0.17929899314260142,0.9999944249052614,0.6306121145776318
UTEGNBA032545-7,3.3844042829775587,3.39410556923919,-0.00970128626163109,-0.16799999999999998,0.6923056031177124,0.9917353056467368,0.41472632731253417
UTEGNCE028358-4,8.048549831235174,8.28663870644043,0.19262559295748957,0.4,2.8890746229516475,0.9956740594679436,1.0441920954205437
UTEGNES030054-3,45.09232998084291,45.12813544517424,-0.035805464331326475,-0.5420000000000016,2.4860917013302553,0.9983361711460995,2.195032658274038
UTEGNMA030196-5,30.889938127166577,30.916365239007476,-0.02642711184090494,-1.5870000000000002,5.568119805420104,0.9919815799143538,3.031779374201788
UTEGNMA030800-5,119.00045965608466,116.25630842911879,-0.006732142857143662,-1.7590000000000003,6.753287882180052,0.9979073479783179,4.732115284619596
UTEGNMA031193-6,20.353425059295752,9.72386667578909,10.629558383506657,0.022000000000000002,12.737092153741317,0.9848420016875986,10.629558383506657
UTEGNMG001096-0,21.365379515599344,22.22937456668491,-0.8666254105090312,0.017000000000000015,2.3326356089330345,0.9989755948231245,1.0526903165480752
UTEGNMG001276-9,9.68578341087393,9.679067346287173,-0.008360381317277926,-0.201,3.0220728826060217,0.9862743747631098,1.2881648421820837
UTEGNMS027975-7,124.09904944353218,36.677886311804414,87.4211631317278,-0.349,134.8950155469779,0.9777572382992612,87.89520400018243
UTEGNPE028031-3,56.981224229155266,62.44235237639117,-5.461128147235905,0.04999999999999999,15.918467682875658,0.9960825332145661,8.904846218755702
UTEGNPE028326-6,4.110419585841998,3.4753273581463238,0.7394040321109286,0.062,1.809841870319391,0.9962666578686145,0.7394040321109286
UTEGNRJ001544-0,147.43401215562852,138.03168862889984,3.8746784802043415,-6.8420000000000005,53.27275282715406,0.9405023690076293,16.477568509396097
UTEGNRJ027243-4,56.37294884601351,54.71470769476373,1.7008202426564494,-1.0990000000000002,8.29215464091684,0.9954807668695423,3.325398056923919
UTEGNRJ027952-8,43.326866561758806,33.988950077540586,6.28152380952381,0.3340000000000001,31.79816620135795,0.973325769645126,13.835453794927933
UTEGNRJ028029-1,101.95970890348475,100.91748209724503,0.016215403211092657,-0.7200000000000002,9.707218800673816,0.9985207658275561,4.7274174192665575
UTEGNRJ030769-6,62.992773399014766,67.2242625433315,-4.231489144316731,1.8949999999999998,16.18223835829531,0.9929581568695123,10.768291963145412
UTEGNSP028191-3,49.11081180441525,49.745242816091945,-0.6344310116767015,-0.30899999999999994,7.789887684073533,0.9984401292078486,3.02618817277869
UTEPEAM029276-1,38.114780856595516,32.81484774676154,5.299933109833972,5.335000000000001,0.2687239468925922,0.9868822974192024,5.299933109833972
UTEPEAM029499-3,103.09062303867908,32.83109188560481,-5.474172368180989,46.417,121.78032403943922,0.9409761363479998,85.94874283889801
UTEPEBA029639-2,8.503151933953658,9.13628895274585,-0.006685413245758028,0.352,7.914464346363575,0.9649891991457349,2.643029602262361
UTEPEBA029653-8,8.457600278233901,9.029770297390986,-0.023185071154898665,0.308,7.500440764034344,0.9677076575640017,2.4218764139755518
UTEPEES029664-3,23.794849548440066,22.12126696770662,1.6735825807334423,-0.204,6.446499447247118,0.9913690146591577,2.352411626528006
UTEPEMA029668-6,11.854777025177889,12.471664477285167,-0.6168874521072797,-0.332,5.162175951232815,0.9888555758479104,1.883804529282978
UTEPEMA029705-4,12.663437146506112,12.661817232256887,0.0016199142492246063,-0.172,5.032362467130258,0.9887929979186874,1.5009973544973545
UTEPEPE030120-5,3.021583515781791,2.4610951240649515,0.5604883917168402,-0.45599999999999996,6.257481019839311,0.9297616906653794,1.6836320698777594
UTEPEPE030438-7,22.494139322203978,20.15280206622879,0.005304415252693759,-6.507999999999999,20.172403318654023,0.23863443426215591,13.112033935413244
